Profile,Mode,Repetition,Sample_Index,Latency_ms
R2,Plain_ONNX,3,7,0.2636
R2,Plain_ONNX,3,8,0.2610
R2,Plain_ONNX,3,9,0.3009
R2,Plain_ONNX,3,10,0.2874
R2,Plain_ONNX,3,11,0.4673
R2,Plain_ONNX,3,12,0.3448
R2,Plain_ONNX,3,13,0.3547
R2,Plain_ONNX,3,14,0.3250
R2,Plain_ONNX,3,15,0.2650
R2,Plain_ONNX,3,16,0.2575
R2,Plain_ONNX,3,17,0.3034
R2,Plain_ONNX,3,18,0.3164
R2,Plain_ONNX,3,19,0.2579
R2,Plain_ONNX,3,20,0.2567
R2,Plain_ONNX,4,1,0.2902
R2,Plain_ONNX,4,2,0.2705
R2,Plain_ONNX,4,3,0.2611
R2,Plain_ONNX,4,4,0.2866
R2,Plain_ONNX,4,5,0.3530
R2,Plain_ONNX,4,6,0.2684
R2,Plain_ONNX,4,7,0.2636
R2,Plain_ONNX,4,8,0.2610
R2,Plain_ONNX,4,9,0.3009
R2,Plain_ONNX,4,10,0.2874
R2,Plain_ONNX,4,11,0.4673
R2,Plain_ONNX,4,12,0.3448
R2,Plain_ONNX,4,13,0.3547
R2,Plain_ONNX,4,14,0.3250
R2,Plain_ONNX,4,15,0.2650
R2,Plain_ONNX,4,16,0.2575
R2,Plain_ONNX,4,17,0.3034
R2,Plain_ONNX,4,18,0.3164
R2,Plain_ONNX,4,19,0.2579
R2,Plain_ONNX,4,20,0.2567
R2,Plain_ONNX,5,1,0.2902
R2,Plain_ONNX,5,2,0.2705
R2,Plain_ONNX,5,3,0.2611
R2,Plain_ONNX,5,4,0.2866
R2,Plain_ONNX,5,5,0.3530
R2,Plain_ONNX,5,6,0.2684
R2,Plain_ONNX,5,7,0.2636
R2,Plain_ONNX,5,8,0.2610
R2,Plain_ONNX,5,9,0.3009
R2,Plain_ONNX,5,10,0.2874
R2,Plain_ONNX,5,11,0.4673
R2,Plain_ONNX,5,12,0.3448
R2,Plain_ONNX,5,13,0.3547
R2,Plain_ONNX,5,14,0.3250
R2,Plain_ONNX,5,15,0.2650
R2,Plain_ONNX,5,16,0.2575
R2,Plain_ONNX,5,17,0.3034
R2,Plain_ONNX,5,18,0.3164
R2,Plain_ONNX,5,19,0.2579
R2,Plain_ONNX,5,20,0.2567
R2,SEMANTICSHIELD,1,1,0.9544
R2,SEMANTICSHIELD,1,2,0.8533
R2,SEMANTICSHIELD,1,3,0.9561
R2,SEMANTICSHIELD,1,4,0.8738
R2,SEMANTICSHIELD,1,5,1.5440
R2,SEMANTICSHIELD,1,6,1.0049
R2,SEMANTICSHIELD,1,7,0.9181
R2,SEMANTICSHIELD,1,8,0.8720
R2,SEMANTICSHIELD,1,9,0.8476
R2,SEMANTICSHIELD,1,10,0.9030
R2,SEMANTICSHIELD,1,11,0.8535
R2,SEMANTICSHIELD,1,12,0.8059
R2,SEMANTICSHIELD,1,13,0.9203
R2,SEMANTICSHIELD,1,14,0.8114
R2,SEMANTICSHIELD,1,15,0.8741
R2,SEMANTICSHIELD,1,16,0.8106
R2,SEMANTICSHIELD,1,17,0.8023
R2,SEMANTICSHIELD,1,18,0.9331
R2,SEMANTICSHIELD,1,19,0.8098
R2,SEMANTICSHIELD,1,20,0.8691
R2,SEMANTICSHIELD,2,1,0.9544
R2,SEMANTICSHIELD,2,2,0.8533
R2,SEMANTICSHIELD,2,3,0.9561
R2,SEMANTICSHIELD,2,4,0.8738
R2,SEMANTICSHIELD,2,5,1.5440
R2,SEMANTICSHIELD,2,6,1.0049
R2,SEMANTICSHIELD,2,7,0.9181
R2,SEMANTICSHIELD,2,8,0.8720
R2,SEMANTICSHIELD,2,9,0.8476
R2,SEMANTICSHIELD,2,10,0.9030
R2,SEMANTICSHIELD,2,11,0.8535
R2,SEMANTICSHIELD,2,12,0.8059
R2,SEMANTICSHIELD,2,13,0.9203
R2,SEMANTICSHIELD,2,14,0.8114
R2,SEMANTICSHIELD,2,15,0.8741
R2,SEMANTICSHIELD,2,16,0.8106
R2,SEMANTICSHIELD,2,17,0.8023
R2,SEMANTICSHIELD,2,18,0.9331
